"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3mm";4;"MountingHole_3mm";;;
2;"RST";"SW_SPST_PTS645";1;"SW_DIP_x01";;;
3;"R_RST1";"R_0402_1005Metric";1;"100";;;
4;"R_LED_VERDE1";"R_0402_1005Metric";1;"220";;;
5;"R_LED_ROJO1";"R_0402_1005Metric";1;"180";;;
6;"Led Verde (PA0),Led Rojo (PA1)";"LED_0603_1608Metric";2;"LED";;;
7;"USB_IN1";"USB_Micro-B_GCT_USB3076-30-A";1;"USB_B_Micro";;;
8;"STM32";"QFN50P700X700X60-49N-D";1;"STM32G491CCU6";;;
9;"R102";"R_0402_1005Metric";1;"100k";;;
10;"R101";"R_0402_1005Metric";1;"450k";;;
11;"L101";"L_0603_1608Metric";1;"2.2u";;;
12;"J2,J1";"PinHeader_2x10_P2.54mm_Vertical";2;"Conn_02x10_Odd_Even";;;
13;"IC1";"RSE0008A";1;"TPD6E004RSER";;;
14;"FLASH";"WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm";1;"W25Q64JWZPIM";;;
15;"EMI_VDDS_FILTER_USB1";"L_0603_1608Metric";1;"BLM18HE152SN1D ";;;
16;"Crystal_48MHz1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"CX2016DB48000C0FPLC1";;;
17;"C2(opt)1,C1(opt)1";"C_0402_1005Metric";2;"4p";;;
18;"C203";"C_0402_1005Metric";1;"13p";;;
19;"C202";"C_0603_1608Metric";1;"10u";;;
20;"C201";"C_0603_1608Metric";1;"4.7u";;;
21;"C105,C104,C103,C102,C101";"C_0402_1005Metric";5;"100n";;;
22;"C4,C3";"C_0402_1005Metric";2;"12p";;;
23;"BUCK3.3";"SOT95P280X100-5N";1;"AUR9713AGH";;;
24;"Battery1";"BatteryHolder_Keystone_1058_1x2032";1;"LIR2032";;;
25;"32KHz_Crystal1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32KHz crystal";;;
